Country name,Confirmed,Recovered,Deaths,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Regional indicator
Lesotho,214069.0,106684.0,4960.0,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,-0.145732045,0.857392073,1.9723167419999998,Sub-Saharan Africa
Liberia,238247.0,176869.0,14348.0,7.054380417000001,0.70928055,56.09631348,0.735268712,0.04227322,0.8563759329999999,1.9723167419999998,Sub-Saharan Africa
Libya,5520478.0,3040156.0,81838.0,9.789815903,0.8259429340000001,62.29999924,0.773157001,-0.085054487,0.668779135,1.9723167419999998,Middle East and North Africa
Lithuania,2359189.0,849824.0,30745.0,10.34362602,0.926107109,67.29407501,0.747381449,-0.21972529600000001,0.809583843,1.9723167419999998,Central and Eastern Europe
Luxembourg,2464893.0,1826430.0,33841.0,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,1.9723167419999998,Western Europe
Madagascar,2338432.0,2078058.0,30637.0,7.281685829,0.668195903,59.10542679,0.5575740929999999,-0.011823638999999999,0.8174856309999999,1.9723167419999998,Sub-Saharan Africa
Malawi,845660.0,592780.0,25031.0,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.9723167419999998,Sub-Saharan Africa
Malaysia,4215882.0,3346151.0,39682.0,10.26251888,0.816509426,67.10215759,0.8946268559999999,0.11472679699999999,0.8393023009999999,1.9723167419999998,Southeast Asia
Maldives,1481794.0,1211837.0,5243.0,9.518632889,0.91316092,70.59999847,0.8539627790000001,0.038085497999999995,0.824211061,1.9723167419999998,South Asia
Mali,602456.0,432994.0,26313.0,7.629852295,0.7314689759999999,51.72698212,0.71156615,-0.044366925999999994,0.839328408,1.9723167419999998,Sub-Saharan Africa
Malta,660740.0,492423.0,7381.0,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,1.9723167419999998,Western Europe
Mauritania,1232073.0,1025520.0,28794.0,8.233919144,0.7908192279999999,57.01017761,0.551522553,-0.10600814199999999,0.746223509,1.9723167419999998,Sub-Saharan Africa
Mauritius,94157.0,82956.0,2511.0,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.8053430909999999,1.9723167419999998,Sub-Saharan Africa
Mexico,119895010.0,95984435.0,12404856.0,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,1.9723167419999998,Latin America and Caribbean
Moldova,9317219.0,6892829.0,234632.0,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,1.9723167419999998,Commonwealth of Independent States
Mongolia,69903.0,51161.0,0.0,9.412186623,0.9371424909999999,62.30448532,0.693351328,0.09809386699999999,0.863511205,1.9723167419999998,East Asia
Montenegro,2058047.0,1393653.0,31496.0,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.7831215859999999,1.9723167419999998,Central and Eastern Europe
Morocco,22556953.0,18483464.0,386139.0,8.940313339,0.5926284789999999,65.89624023,0.772072434,-0.240377247,0.8157246109999999,1.9723167419999998,Middle East and North Africa
Mozambique,1244042.0,913133.0,9087.0,7.069345951,0.723874032,54.20582199,0.864451885,0.032375867999999995,0.683019102,1.9723167419999998,Sub-Saharan Africa
Namibia,1387013.0,1066624.0,13926.0,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.8514497879999999,1.9723167419999998,Sub-Saharan Africa
Nepal,15657466.0,12244559.0,89914.0,7.925357342000001,0.785512447,63.77917862,0.797565043,0.154168829,0.7380991579999999,1.9723167419999998,South Asia
Netherlands,35890966.0,527459.0,1585015.0,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.9723167419999998,Western Europe
New Zealand,424726.0,386192.0,5431.0,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,1.9723167419999998,North America and ANZ
Nicaragua,816601.0,562437.0,24661.0,8.493160247999999,0.8574970359999999,67.50717926,0.8639028670000001,0.020959141,0.665950119,1.9723167419999998,Latin America and Caribbean
Nigeria,9765598.0,7485116.0,201034.0,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,1.9723167419999998,Sub-Saharan Africa
Norway,3452941.0,2136603.0,63513.0,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,1.9723167419999998,Western Europe
Pakistan,56531483.0,47369385.0,1170598.0,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.7457054259999999,1.9723167419999998,South Asia
Panama,18067924.0,13645302.0,371647.0,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1.9723167419999998,Latin America and Caribbean
Paraguay,5993787.0,3931087.0,123951.0,9.389982224,0.8987278940000001,65.63993835,0.885923445,0.007997713,0.8347885009999999,1.9723167419999998,Latin America and Caribbean
Peru,122730322.0,98132513.0,4830920.0,9.456313133,0.8310752509999999,68.10023499,0.8247660990000001,-0.16238822,0.8937149640000001,1.9723167419999998,Latin America and Caribbean
Philippines,43407809.0,34185242.0,851312.0,8.993545532,0.8467300529999999,61.92676163,0.915463448,-0.105463006,0.7336341140000001,1.9723167419999998,Southeast Asia
Poland,43347982.0,23500595.0,866431.0,10.26512432,0.874257445,69.31113434,0.8620557790000001,-0.205084071,0.6869270209999999,1.9723167419999998,Central and Eastern Europe
Portugal,20301518.0,12723530.0,480394.0,10.26374245,0.8865907190000001,72.40202332,0.8887478109999999,-0.220714301,0.8926295040000001,1.9723167419999998,Western Europe
Romania,28847354.0,19654272.0,931388.0,10.107584,0.8251615170000001,67.20723724,0.842823207,-0.19781521,0.9343002440000001,1.9723167419999998,Central and Eastern Europe
Russia,231695545.0,170588454.0,3841745.0,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.9723167419999998,Commonwealth of Independent States
Rwanda,674113.0,505217.0,3922.0,7.600104332000001,0.54083544,61.09884644,0.9005894059999999,0.055483952,0.183541179,1.9723167419999998,Sub-Saharan Africa
Saudi Arabia,56887173.0,50318320.0,734941.0,10.79781246,0.874067068,66.30514526,0.854191244,-0.16869506199999998,0.682619512,1.9723167419999998,Middle East and North Africa
Senegal,2410519.0,1911377.0,47376.0,8.118982315,0.723616004,59.59915161,0.6905961629999999,-0.052335154,0.808785141,1.9723167419999998,Sub-Saharan Africa
Serbia,9310768.0,733305.0,147133.0,9.680980682000001,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.9723167419999998,Central and Eastern Europe
Sierra Leone,392453.0,284898.0,13880.0,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,1.9723167419999998,Sub-Saharan Africa
Singapore,11213139.0,9916774.0,6157.0,11.39552116,0.9102689620000001,76.80458069,0.926645339,0.029879224,0.109784193,1.9723167419999998,Southeast Asia
